,pod_name,category,description,cover_image
7734,1A,News & Politics,"1A is home to the national conversation. Joshua Johnson hosts with great guests and frames the best debate in ways to make you think, share and engage.",http://imgur.com/wMID0Oi6KQAXRhrNsNIS
6296,The Keto Diet Podcast,Fitness & Nutrition,"Support your low-carb, high-fat life with The Keto Diet Podcast, a fresh take on ketogenic living with Holistic Nutritionist and keto enthusiast, Leanne Vogel of HealthfulPursuit.com. Interviews with thought leaders, keto veterans, and exclusive content delivering
 powerful actions to understanding keto, developing a ketogenic diet that works for you, overcoming daily keto struggles, boosting body confidence, shedding weight, and more.",http://imgur.com/Hh9UdCPEsO90nOxocpoM
2775,Laser Time,Comedy,"Laser Time is a show featuring folks in the video games industry, although not necessarily about video games. It’s a hyper-silly, multimedia-infused look at film, TV, comics, music, pop culture, and nostalgia from the perspective of people who game for a living. Obviously, their opinions are their own and do not reflect that of their employers.",http://imgur.com/SoAbG3pXiHfK9REyQipv
2461,Simple Pin Podcast: Simple ways to boost your business using Pinterest,Management & Marketing,"Kate Ahl is the owner and founder of Simple Pin Media, a Pinterest management company that specializes in managing Pinterest pages for businesses and bloggers. She is passionate about teaching simple, actionable Pinterest marketing strategies to help business owners and bloggers boost their business using Pinterest without wasting their time. In her podcast, The Simple Pin Podcast, she interviews people who are using Pinterest in creative ways to drive traffic to their website and increase revenue. She's on a mission to rid the world of Pinterest myths, crazy hacks to 'game' the system and rabbit trails that waste valuable business-building time. She wants to give her audience solid Pinterest Marketing advice using data-driven results. Keep it simple, be authentic, and pin with purpose.",http://imgur.com/qlOp8DVJqcSHw6bOii2g
10527,TD Jakes Podcast,Society & Culture,"Insightful, relevant conversations between T. D. Jakes and guests spanning all sections of life.",http://imgur.com/Uo1p1bV5T7w30r7OhLo3
7670,KEXP Video of the Week,Music,KEXP's Video of the Week podcast features exclusive in-studio performances from independent musicians that KEXP thinks listeners should hear along with songs from more well-known artists.,http://imgur.com/WyGOWT1tfGv2eVQBrx84
6708,Renegade Radio with Jay Ferruggia: Fitness | Nutrition | Lifestyle | Strength Training | Self Help | Motivation,Fitness & Nutrition,"Jay Ferruggia is one of America’s top fitness and self-help experts with over 20 years of professional experience.  Want faster gains in the gym? Unshakable self-confidence? Better communication skills and amazing relationships? Ready to become the strong leader and badass you’re meant to be? Jay and his world-class guests from the fields of fitness, personal development, pro sports, entertainment, and business will answer your questions and give you the clarity and motivation you need to unleash your strongest self and live your dream life.",http://imgur.com/OjJ0e4E6FZek8xZFtnT5
2400,The Futur,Management & Marketing,"Chris Do, host of YouTube channel ""The Process"" talks about: Branding, Design, Business and User Experience design.",http://imgur.com/dJJmBiGZyqxdfdZghxIj
2365,What Works | Small Business Podcast with Tara McMullin,Management & Marketing,"What Works is a show about what’s actually working to run, manage, and grow small businesses in the digital age. Tara Mcmullin (formerly Tara Gentile) deep dives with business owners from the coaching, wellness, ecommerce, business to business, writing, legal, technology, and creative industries and find out exactly what they’re doing to thrive—not merely survive. Whether you’re interested in operations, marketing techniques, hiring strategies, sales systems, or business models, we’ve got you covered. This isn’t a how-to podcast, it’s not an expert podcast, and it’s certainly not a feel-good entrepreneurial stories podcast. This is a podcast about what’s actually working for small business owners today. What Works was formerly Profit. Power. Pursuit.",http://imgur.com/tsnPtGCZWhw3Q1cflFPG
7394,Western Wednesday  Classic Westerns,Kinds & Family,"How many western radio programs can you recall if any? Can you recall two, ten, or fifteen of them. How about twenty titles? Well, there were more than thirty different radio westerns that aired over the years. Some have become an example of radio excellence and others just memories. Each week we will be covering some of the most popular westerns and many that have faded into distance memories. Join me as we relive radio westerns that entertain many a young child with adventure on Western Wednesday.",http://imgur.com/oHshnqn0JtfN5Dxtfcbg
7703,On Point,News & Politics,Go behind the headlines: From the economy and health care to politics and the environment – and so much more – On Point hosts Meghna Chakrabarti and David Folkenflik speak with newsmakers and real people about the issues that matter most. On Point is produced by WBUR for NPR.,http://imgur.com/zq5Y7fZtdaJIVoE5IAdg
7566,Radio Three Sixty ACC,Music,"MUSIC DISCOVERY***IPOD, IPAD, IPHONE AND HEADPHONE FRIENDLY. WELCOME TO THE WORLD OF RADIO THREE SIXTY. Music for Strange Moments***

WHY?: Our aim is to expose you all to deep beautifully strange music that will help you in the every day, as you view the world around playing out like a silent color film, the music soundtrack in your ears. You are on your way to work on the subway or bus, waiting at an airport or just standing looking at the most inspiring view as you reach the top of Ankor Wat in Cambodia, watching the sun set over a tropical beach or riding around on a bike at Burning Man. There are those moments in life that you attach to music, that help you remember them many years later, we like to call it ""Music For Strange Moments."" If you like any of the songs you will see a link in the album art. The art is located bottom left of the itunes browser. This link if the song is available on itunes will take you to where you can buy the song. 

TELL YOUR FRIENDS ABOUT US...Please Support the Artists! ****** Read our blog about the show at: http://radiothreesixty.com ENJOY THE SHOW",http://imgur.com/eqWaIpflYMQDya6Yp6DI
1578,The Trevor Chapman Show,Management & Marketing,"The Trevor Chapman Show is a celebration of the human experience. Trevor seeks out the most interesting, high-achieving, and engaging human beings on the planet to discuss everything from entrepreneurship, to performance, to happiness; essentially the pursuit of the good life in all areas. Trevor Chapman has been recognized by top publications including Forbes, Entrepreneur, and CNBC as being one of the Top 1% Digital Strategists. He has been an entrepreneur for 14 years and has generated over $100 Million in his companies.",http://imgur.com/p5XpSqyOIMDle2qyPoyw
7567,Afrojack – JACKED Radio (Official Podcast),Music,"In the span of less than 2 years, Afrojack has become one of electronic dance music's major icons. From humble DJ beginnings in his native country of Holland, he has grown to become a multi-award winning, platinum-selling producer. His skills are some of the most sought after in the world, and with two Grammy Awards under his belt, it's easy to see why. In addition to this, his DJ sets have fast become both iconic and unparalleled, providing an explosive take on the current state of dance music across the board. Produced by the NoiseHouse www.thenoisehouse.com.",http://imgur.com/iChvmC3Hs1B2T0sHYarQ
12477,The Indie Film Place Podcast,TV & Film,"Topical discussion, daily motivation, DIY and other tutorials, industry interviews, and product reviews. The complete podcast for the independent filmmaker.",http://imgur.com/M3qwED1BIk7rVojQnh8t
7537,Bands Under the Radar,Music,"Bands Under the Radar (BUTR) is a new music podcast and radio show featuring mostly unsigned bands and indie artists. 
Download the BUTR app on iPhone and Andrdoid phones for FREE: http://road.ie/butr
For more info visit: http://bandsundertheradar.com",http://imgur.com/B9R5MDAFCkn33jU604rA
2766,Not Too Deep with Grace Helbig,Comedy,"You know those podcasts where famous people recount their lives and careers, and then things get emotional?
That is NOT this show!
Hosted by internet superstar Grace Helbig, ""Not Too Deep"" is a ridiculous, silly, and unapologetically superficial interview podcast, that is more about the laffs than about the feels.",http://imgur.com/A3rL6V7ysedRifmoL9h5
2460,Leadership and Business | Our Business is Leadership,Management & Marketing,"William & Mary’s rich history of educating leaders continues at the Center for Corporate Education (CCE) where today’s business leaders learn how to tackle tough business challenges. Whether you are an established executive or an emerging professional, the CCE is committed to providing you with quality education that offers fresh ideas and new professional skills to give you and your organization a competitive advantage. Our weekly podcast highlights the latest and best thinking from corporate executives, entrepreneurs, consultants, and thought leaders from around the world. Our guests share the strategies, tactics and keen insights to make you a more effective leader, communicator, and professional. Find us at wmleadership.com.",http://imgur.com/rTb6KaCTAJ6aqjFSUMmw
